track_id,track_name,artist_name,artist_count,in_spotify_playlists,in_spotify_charts,streams,data_lancamento,total_playlists,in_apple_playlists,in_apple_charts,in_deezer_playlists,in_deezer_charts,bpm,key,mode,danceability,valence,energy,acousticness,instrumentalness,liveness,speechiness,quartil_streams,classificacao_streams,quartil_bpm,classificacao_bpm,quartil_danceability,classificacao_danceability,quartil_valence,classificacao_valence,quartil_energy,classificacao_energy,quartil_acousticness,classificacao_acousticness,quartil_instrumentalness,classificacao_instrumentalness,quartil_liveness,classificacao_liveness,quartil_speechiness,quartil_total_playlists,classificacao_speechiness,classificacao_total_playlists
2853933,Red Ruby Da Sleeze,Nicki Minaj,1,1168,0,81419389,2023-03-03,1233,45,11,20,0,98,C#,Major,70,29,73,12,0,11,26,1,baixo,1,baixo,3,medio,1,baixo,3,medio,2,medio,3,medio,2,medio,4,2,alto,medio
6161550,Cupid  Twin Ver. (FIFTY FIFTY)  Spe,sped up 8282,1,472,2,103762518,1997-01-01,478,0,0,6,0,144,F,Major,74,75,73,42,0,9,4,1,baixo,4,alto,3,medio,4,alto,3,medio,3,medio,3,medio,1,baixo,2,1,medio,baixo
6131592,Gasoline,The Weeknd,1,2297,0,116903579,2022-01-07,2322,11,29,14,0,123,F#,Minor,74,35,73,0,0,21,5,1,baixo,3,medio,3,medio,2,medio,3,medio,1,baixo,3,medio,3,medio,2,3,medio,medio
4464368,thought i was playing,"21 Savage, Gunna",2,807,0,60680939,2022-01-07,815,3,0,5,0,148,C#,Major,68,29,73,0,0,7,7,1,baixo,4,alto,2,medio,1,baixo,3,medio,1,baixo,3,medio,1,baixo,3,1,medio,baixo
6602768,Jhoome Jo Pathaan,"Arijit Singh, Vishal Dadlani, Sukriti Kakar, Vishal-Shekhar, Shekhar Ravjiani, Kumaar",6,138,4,1365184,2022-12-22,153,13,78,2,0,105,G,Major,82,62,74,10,0,33,7,1,baixo,2,medio,4,alto,3,medio,3,medio,2,medio,3,medio,4,alto,3,1,medio,baixo
4265182,"Residente: Bzrp Music Sessions, Vol. 49","Residente, Bizarrap",2,461,0,94616487,2022-03-03,481,7,11,13,0,71,C#,Minor,59,70,74,56,0,11,40,1,baixo,1,baixo,2,medio,3,medio,3,medio,4,alto,2,medio,2,medio,4,1,alto,baixo
6452995,LADY GAGA,"Gabito Ballesteros, Junior H, Peso Pluma",3,332,26,86444842,2023-06-22,353,11,163,10,4,140,F,Minor,65,87,74,22,0,42,4,1,baixo,3,medio,2,medio,4,alto,3,medio,3,medio,3,medio,4,alto,2,1,medio,baixo
4004325,Obsessed,"Abhijay Sharma, Riar Saab",2,161,6,71007139,2022-09-29,173,10,79,2,0,135,F,Minor,80,85,74,62,0,8,9,1,baixo,3,medio,4,alto,4,alto,3,medio,4,alto,3,medio,1,baixo,3,1,medio,baixo
8164697,Tubaro Te,"Dj LK da Esccia, Tchakabum, mc jhenny, M",4,1003,0,116144341,2022-09-28,1068,21,0,44,0,130,E,Minor,89,48,74,30,0,7,36,1,baixo,3,medio,4,alto,2,medio,3,medio,3,medio,3,medio,1,baixo,4,2,alto,medio
4991676,F2F,SZA,1,989,0,67540165,2022-12-09,995,5,9,1,0,90,D,Major,53,47,74,9,0,34,4,1,baixo,1,baixo,1,baixo,2,medio,3,medio,2,medio,2,medio,4,alto,1,2,baixo,medio
7243247,I Really Want to Stay at Your House,"Rosa Walton, Hallie Coggins",2,668,1,140430339,2020-12-18,699,0,0,31,0,125,D#,Minor,49,13,74,0,0,9,4,1,baixo,3,medio,1,baixo,1,baixo,3,medio,1,baixo,2,medio,1,baixo,1,1,baixo,baixo
1193878,Lilith (feat. SUGA of BTS) (Diablo IV Anthem),"Halsey, Suga",2,215,6,51985779,2023-06-05,229,6,14,8,2,84,A,Minor,43,14,74,1,0,19,8,1,baixo,1,baixo,1,baixo,1,baixo,3,medio,1,baixo,2,medio,3,medio,3,1,medio,baixo
6247887,LALA,Myke Towers,1,1474,48,133716286,2023-03-23,1580,48,126,58,14,92,C#,Major,71,61,74,7,0,10,4,1,baixo,1,baixo,3,medio,3,medio,3,medio,2,medio,3,medio,2,medio,2,2,medio,medio
7529779,I Can See You (Taylors Version) (From The,Taylor Swift,1,516,38,52135248,2023-07-07,631,73,119,42,1,123,F#,Major,69,82,76,6,0,6,3,1,baixo,3,medio,2,medio,4,alto,3,medio,1,baixo,3,medio,1,baixo,1,1,baixo,baixo
1214913,I Know - PR1SVX Edit,"Kanii, PR1ISVX",2,407,0,77377503,2023-03-24,428,16,15,5,0,134,B,Minor,67,11,76,8,47,30,7,1,baixo,3,medio,2,medio,1,baixo,3,medio,2,medio,4,alto,4,alto,3,1,medio,baixo
3970396,Man Made A Bar (feat. Eric Church),"Morgan Wallen, Eric Church",2,329,0,58890931,2023-03-03,344,14,35,1,0,148,E,Major,50,49,76,12,0,12,3,1,baixo,4,alto,1,baixo,2,medio,3,medio,2,medio,2,medio,2,medio,1,1,baixo,baixo
2820265,Thinkin B,Morgan Wallen,1,604,6,125917280,2023-03-03,626,22,101,0,0,140,D#,Minor,66,43,76,49,0,12,3,1,baixo,3,medio,2,medio,2,medio,3,medio,4,alto,3,medio,2,medio,1,1,baixo,baixo
4148996,What It Is (Solo Version),Doechii,1,804,25,95131998,2023-03-17,857,29,76,24,0,172,C#,Minor,74,76,76,6,0,10,9,1,baixo,4,alto,3,medio,4,alto,3,medio,2,medio,3,medio,2,medio,3,1,medio,baixo
6895326,Curtains,Ed Sheeran,1,715,0,39893489,2023-05-05,779,37,3,27,0,176,F#,Minor,50,44,76,10,0,32,5,1,baixo,4,alto,1,baixo,2,medio,3,medio,2,medio,2,medio,4,alto,2,1,medio,baixo
2166249,O.O,NMIXX,1,290,0,135444283,2022-02-22,309,9,66,10,0,200,B,Minor,39,28,77,4,0,6,29,1,baixo,4,alto,1,baixo,1,baixo,3,medio,1,baixo,2,medio,1,baixo,4,1,alto,baixo
6773043,En La De Ella,"Feid, Sech, Jhayco",3,1320,0,133895612,2022-10-20,1366,29,26,17,0,97,C#,Major,82,67,77,8,0,12,5,1,baixo,1,baixo,4,alto,3,medio,3,medio,2,medio,3,medio,2,medio,2,2,medio,medio
2068804,Zona De Perigo,Leo Santana,1,531,4,134294498,2022-12-08,622,20,1,71,2,135,F,Major,81,97,77,75,0,35,3,1,baixo,3,medio,4,alto,4,alto,3,medio,4,alto,3,medio,4,alto,1,1,baixo,baixo
3305057,Wild Flower (with youjeen),RM,1,353,2,135611421,2022-12-02,369,2,74,14,0,155,G#,Major,49,42,77,3,0,12,9,1,baixo,4,alto,1,baixo,2,medio,3,medio,1,baixo,2,medio,2,medio,3,1,medio,baixo
8209238,Mi Bello Angel,Natanael Cano,1,86,8,31873544,2023-06-30,96,7,76,3,1,128,A,Minor,81,90,77,1,0,9,5,1,baixo,3,medio,4,alto,4,alto,3,medio,1,baixo,3,medio,1,baixo,2,1,medio,baixo
2101565,Hits Different,Taylor Swift,1,547,0,68616963,2023-05-26,568,15,15,6,0,106,F,Major,67,24,78,15,0,30,4,1,baixo,2,medio,2,medio,1,baixo,4,alto,2,medio,4,alto,4,alto,2,1,medio,baixo
8943060,Mine (Taylor's Version),Taylor Swift,1,99,15,36912123,2023-07-07,126,21,52,6,1,121,G,Major,65,49,78,0,0,17,4,1,baixo,3,medio,2,medio,2,medio,4,alto,1,baixo,4,alto,3,medio,2,1,medio,baixo
7996425,"Arcngel: Bzrp Music Sessions, Vol","Arcangel, Bizarrap",2,654,3,100409613,2023-03-22,683,11,3,18,1,124,B,Minor,72,79,78,55,0,15,30,1,baixo,3,medio,3,medio,4,alto,4,alto,4,alto,4,alto,3,medio,4,1,alto,baixo
1274739,S-Class,Stray Kids,1,290,19,65496046,2023-06-02,304,9,101,5,0,105,F,Minor,89,67,78,9,0,7,33,1,baixo,2,medio,4,alto,3,medio,4,alto,2,medio,4,alto,1,baixo,4,1,alto,baixo
6177084,Father Time (feat. Sampha),"Kendrick Lamar, Sampha",2,3107,0,127309180,2022-05-13,3133,4,0,22,0,153,A#,Minor,55,50,78,19,0,11,35,1,baixo,4,alto,1,baixo,2,medio,4,alto,3,medio,3,medio,2,medio,4,3,alto,medio
6620188,Bite Me,ENHYPEN,1,349,69,76767396,2023-05-22,362,8,96,5,0,105,C#,Major,80,69,78,28,0,11,14,1,baixo,2,medio,4,alto,3,medio,4,alto,3,medio,4,alto,2,medio,4,1,alto,baixo
5402623,Dijeron Que No La Iba Lograr,"Fuerza Regida, Chino Pacas",2,320,6,116334601,2023-03-14,327,5,48,2,1,142,G,Minor,70,76,79,26,0,11,7,1,baixo,4,alto,3,medio,4,alto,4,alto,3,medio,4,alto,2,medio,3,1,medio,baixo
5128815,Me Arrepent,"Ak4:20, Cris Mj, Pailita",3,273,2,118381354,2022-03-30,289,12,2,4,0,92,Ausente,Major,86,91,79,29,0,60,16,1,baixo,1,baixo,4,alto,4,alto,4,alto,3,medio,4,alto,4,alto,4,1,alto,baixo
4847849,CORAZN VA,Maria Becerra,1,370,20,43857627,2023-06-22,400,12,16,18,4,98,C#,Major,68,40,79,33,0,30,6,1,baixo,1,baixo,2,medio,2,medio,4,alto,3,medio,4,alto,4,alto,3,1,medio,baixo
4141537,PERO T,"Karol G, Quevedo",2,387,11,93438910,2023-02-23,412,11,15,14,3,140,F#,Major,86,68,79,39,0,11,29,1,baixo,3,medio,4,alto,3,medio,4,alto,3,medio,4,alto,2,medio,4,1,alto,baixo
6083108,SORRY NOT SORRY,"Tyler, The Creator",2,709,0,58473276,2023-03-31,730,8,1,13,0,96,F#,Minor,48,50,80,40,0,37,20,1,baixo,1,baixo,1,baixo,2,medio,4,alto,3,medio,3,medio,4,alto,4,1,alto,baixo
1936946,"Besharam Rang (From ""Pathaan"")","Vishal-Shekhar, Shilpa Rao, Caralisa Monteiro, Kumaar, Vishal Dadlani, Shekhar Ravjiani",6,130,4,140187018,2022-12-12,153,21,79,2,0,116,G#,Minor,77,65,80,6,0,15,4,1,baixo,2,medio,3,medio,3,medio,4,alto,2,medio,4,alto,3,medio,2,1,medio,baixo
7948655,POLARIS - Remix,"Feid, Mora, Saiko, Quevedo",4,773,33,57312735,2023-06-08,814,20,46,21,8,170,G#,Minor,62,55,80,15,0,37,7,1,baixo,4,alto,2,medio,3,medio,4,alto,2,medio,4,alto,4,alto,3,1,medio,baixo
1336403,City of Gods,"Kanye West, Alicia Keys, Fivio Foreign",3,2096,0,107255472,2022-02-11,2160,34,3,30,0,147,G#,Minor,47,50,80,10,0,32,38,1,baixo,4,alto,1,baixo,2,medio,4,alto,2,medio,3,medio,4,alto,4,2,alto,medio
3853127,Aint Tha,Morgan Wallen,1,356,4,88791109,2023-03-03,360,4,20,0,0,121,F#,Minor,64,67,80,0,0,36,3,1,baixo,3,medio,2,medio,3,medio,4,alto,1,baixo,4,alto,4,alto,1,1,baixo,baixo
2475712,Agudo Mgi,"Styrx, utku INC, Thezth",3,323,0,90598517,1930-01-01,341,4,0,14,0,130,F#,Minor,65,49,80,22,4,7,5,1,baixo,3,medio,2,medio,2,medio,4,alto,3,medio,4,alto,1,baixo,2,1,medio,baixo
6776344,Bye,Peso Pluma,1,324,14,95053634,2023-05-26,345,13,110,8,2,122,Ausente,Major,78,70,81,57,0,10,5,1,baixo,3,medio,3,medio,3,medio,4,alto,4,alto,4,alto,2,medio,2,1,medio,baixo
3746522,Born With A Beer In My Hand,Morgan Wallen,1,203,0,34450974,2023-03-03,208,5,9,0,0,148,Ausente,Major,53,61,81,5,0,36,4,1,baixo,4,alto,1,baixo,3,medio,4,alto,1,baixo,3,medio,4,alto,1,1,baixo,baixo
6509365,The Heart Part 5,Kendrick Lamar,1,2939,0,71423324,2022-05-08,2998,29,0,30,0,98,G#,Minor,76,79,81,18,0,6,34,1,baixo,1,baixo,3,medio,4,alto,4,alto,2,medio,4,alto,1,baixo,4,3,alto,medio
8033263,SloMo,Chanel,1,1211,0,65719930,2021-12-24,1261,31,0,19,0,105,C#,Minor,73,59,81,13,0,9,6,1,baixo,2,medio,3,medio,3,medio,4,alto,2,medio,4,alto,1,baixo,3,2,medio,medio
2841488,I Wrote The Book,Morgan Wallen,1,430,0,83021468,2023-01-31,445,15,17,0,0,144,D,Major,68,83,81,9,0,8,4,1,baixo,4,alto,2,medio,4,alto,4,alto,2,medio,4,alto,1,baixo,2,1,medio,baixo
7016313,Super Shy,NewJeans,1,422,55,58255150,2023-07-07,480,37,202,21,5,150,F,Minor,78,52,82,18,0,15,7,1,baixo,4,alto,3,medio,3,medio,4,alto,3,medio,4,alto,3,medio,3,1,medio,baixo
7036044,Stefania (Kalush Orchestra),KALUSH,1,555,0,53729194,2022-03-10,569,10,4,4,0,105,D,Major,83,32,82,14,0,12,4,1,baixo,2,medio,4,alto,1,baixo,4,alto,2,medio,4,alto,3,medio,2,1,medio,baixo
3786238,Nos Comemos (feat. Ozuna),"Ozuna, Tiago pzk",2,896,0,138334433,2022-06-02,898,0,0,2,0,92,F#,Major,83,56,82,10,0,9,5,1,baixo,1,baixo,4,alto,3,medio,4,alto,2,medio,4,alto,1,baixo,2,1,medio,baixo
6774092,Purple Hearts,"Kendrick Lamar, Ghostface Killah, Summer Walker",3,2308,0,76831876,2022-05-13,2322,7,0,7,0,138,D#,Minor,57,71,82,19,0,15,29,1,baixo,3,medio,1,baixo,4,alto,4,alto,3,medio,3,medio,3,medio,4,3,alto,medio
8274842,MONTAGEM - FR PUNK,"Ayparia, unxbected",2,641,50,58054811,2012-06-20,650,1,52,8,0,129,A,Major,63,84,82,70,8,9,7,1,baixo,3,medio,2,medio,4,alto,4,alto,4,alto,4,alto,1,baixo,3,1,medio,baixo
3986213,on the street (with J. Cole),"j-hope, J. Cole",2,615,2,116599790,2023-03-03,645,22,82,8,0,94,B,Minor,68,81,82,53,0,9,13,1,baixo,1,baixo,2,medio,4,alto,4,alto,4,alto,4,alto,1,baixo,4,1,alto,baixo
5565096,La Loto,"Anitta, Tini, Becky G",3,945,0,121189256,2022-07-06,1051,49,3,57,0,90,C#,Major,85,80,83,10,0,8,11,1,baixo,1,baixo,4,alto,4,alto,4,alto,2,medio,4,alto,1,baixo,4,2,alto,medio
1121286,Queencard,(G)I-DLE,1,451,33,96273746,2023-05-15,468,10,126,7,0,130,E,Minor,82,69,83,3,0,27,5,1,baixo,3,medio,4,alto,3,medio,4,alto,1,baixo,4,alto,4,alto,2,1,medio,baixo
1230186,SPACE MAN,Sam Ryder,1,1329,0,54682594,2022-02-22,1403,42,51,32,0,80,B,Major,47,33,83,18,0,10,5,1,baixo,1,baixo,1,baixo,2,medio,4,alto,2,medio,3,medio,2,medio,2,2,medio,medio
4082370,Seven (feat. Latto) (Explicit Ver.),"Latto, Jung Kook",2,553,147,141381703,2023-07-14,641,43,263,45,10,125,B,Major,80,89,83,31,0,8,4,1,baixo,3,medio,4,alto,4,alto,4,alto,3,medio,4,alto,1,baixo,2,1,medio,baixo
7432867,I Heard You're Married (feat. Lil Wayne),"The Weeknd, Lil Wayne",2,1178,0,91656026,2022-01-07,1196,9,10,9,0,110,D,Major,75,85,84,10,0,31,19,1,baixo,2,medio,3,medio,4,alto,4,alto,2,medio,4,alto,4,alto,4,2,alto,medio
1442233,Haegeum,Agust D,1,244,12,118810253,2023-04-21,260,6,84,10,2,85,G,Major,70,83,84,31,0,47,30,1,baixo,1,baixo,3,medio,4,alto,4,alto,3,medio,4,alto,4,alto,4,1,alto,baixo
